Group,Sub-group,Brand,Products,P/M,Logo,Comment,Updated,Barcode,Guideline-Product
Alcohol,Liqueurs,De Kuyper,Cranberry,P,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,De Kuyper,Cherry Brandy – NOT KOSHER,NK,,Products must be “Product of Holland ”,NO DATE,,Product
Alcohol,Liqueurs,Disaronno,Amaretto 18,P,,,NO DATE,,Product
Alcohol,Liqueurs,Disaronno,Originate 5,P,,,NO DATE,,Product
Alcohol,Liqueurs,Drambuie,The Royal Legacy of 1745,P,,,NO DATE,,Product
Alcohol,Liqueurs,Drambuie,Liqueur,P,,,NO DATE,,Product
Alcohol,Liqueurs,Drambuie,15 Speyside Malt Whiskey,P,,,NO DATE,,Product
Alcohol,Liqueurs,Dubonnet,NOT KOSHER,NK,,,NO DATE,,Product
Alcohol,Liqueurs,Frangelico,Hazelnut,P,,,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Cranberry,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Cassis et Pain d’Epices,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Framboise,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur Darjeeling Tea,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Curacao Triple Sec,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Guignolet de Dijon,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Gingembre,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Granades,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Rhubarbe,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Mangue,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Curacao,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Pommes the Earl Grey,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Lychees,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Pommes,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Myrtilles,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Liqueur de Poires William,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Prunelles et Sureau,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Menthe,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Peches de Vigne,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Cassis de Dijon,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Cacao,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Crème de Fraises,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Bananes,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Citronelli,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme d’Abricots,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Fraises et Poivre de Tasmanie,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Cafe,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Framboises et Thym,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Mures,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Crème de Framboises,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Peches et Fleur de Habiscus,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme de Peches,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Crème de Melon s Verts,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Gabriel Boudier,Creme e Griottes et Chocolat,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Fraise,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Ginger of the Indies,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Lichi Li,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Eau de Vie de Poire William,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Violette,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Curacao Blue,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Mangue Topic,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Manzana Verde,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Watermelom,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Menthe Pastille,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Peche de Vigne,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Vanille de Madagascar - NOT KOSHER,NK,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Marasquin,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Triple Sec,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Muroise du Val de Loire,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Rhubarbe,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Peche,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Pamplemousse Rose,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Curacao Orange – NOT KOSHER,NK,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Fruits de la Passion,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,B anana du Brasil,NK,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Amaretto,P,,Products must be “Product of France ”,NO DATE,,Product
